,precision,recall,f1-score,support,accuracy
0,0.9627173328553504,0.8702203499675956,0.9141349672368309,6172.0,0.8702203499675956
1,0.39272175890826383,0.7134986225895317,0.506601466992665,726.0,0.7134986225895317
avg / total,0.6777195458818072,0.7918594862785636,0.7103682171147478,6898.0,0.8537257175993042
