,precision,recall,f1-score,support,accuracy
0,0.49094122845779936,0.5789473684210527,0.531324725011956,1919.0,0.5789473684210527
1,0.7025036818851251,0.6235294117647059,0.6606648199445984,3060.0,0.6235294117647059
avg / total,0.5967224551714623,0.6012383900928793,0.5959947724782773,4979.0,0.606346655955011
