,precision,recall,f1-score,support,accuracy
0,0.7059947105495151,0.6965787184691214,0.701255107997665,6898.0,0.6965787184691214
1,0.7058740865654862,0.7151195899772209,0.7104667609618105,7024.0,0.7151195899772209
avg / total,0.7059343985575006,0.7058491542231712,0.7058609344797377,13922.0,0.7059330555954604
