,precision,recall,f1-score,support,accuracy
0,0.6155122355868934,0.6651725683549977,0.6393795777682032,2231.0,0.6651725683549977
1,0.5902358749314317,0.5371942086869695,0.5624673288029274,2003.0,0.5371942086869695
avg / total,0.6028740552591625,0.6011833885209836,0.6009234532855653,4234.0,0.6046291922531885
